y_true,y_pred_xgb,error_xgb
6.4,6.669716,-0.2697158813476559
6.5,7.255728,-0.7557277679443359
7.8,7.0674725,0.7325275421142576
3.75,6.879815,-3.129815101623535
6.0,6.751497,-0.7514967918395996
6.4,6.832114,-0.432114219665527
7.0,7.0067534,-0.006753444671630859
8.4,6.969478,1.4305218696594242
5.8,6.9542255,-1.154225540161133
7.0,6.852072,0.14792823791503906
6.5,6.8911233,-0.39112329483032227
7.4,7.3793073,0.020692729949951527
6.6,6.9128294,-0.3128293991088871
7.5,6.860814,0.639185905456543
7.0,6.9684467,0.03155326843261719
7.6,7.22193,0.378069972991943
6.8,6.816878,-0.016877841949463068
6.25,6.820755,-0.5707550048828125
8.2,7.324415,0.8755847930908196
4.4,6.8443804,-2.444380378723144
7.75,6.6867633,1.0632367134094238
7.2,6.7956667,0.4043333053588869
6.75,6.633806,0.11619377136230469
7.4,7.0736036,0.3263963699340824
6.0,6.7969465,-0.7969465255737305
7.0,6.76783,0.23217010498046875
7.0,6.757424,0.24257612228393555
7.4,7.2656016,0.1343983650207523
7.0,7.0454607,-0.04546070098876953
7.6,6.8460174,0.7539826393127438
7.0,6.8369193,0.16308069229125977
7.5,6.921593,0.578406810760498
7.8,7.255728,0.5442722320556639
6.0,6.908077,-0.9080767631530762
6.4,6.702164,-0.30216417312622035
7.8,7.046725,0.7532752037048338
3.75,6.8848534,-3.1348533630371094
7.0,6.921593,0.07840681076049805
8.0,6.843439,1.1565608978271484
6.8,6.7956667,0.004333305358886541
7.25,6.6809006,0.5690994262695312
8.8,7.208891,1.5911090850830085
6.5,6.814839,-0.31483888626098633
7.0,6.933958,0.06604194641113281
6.4,6.757424,-0.3574238777160641
7.0,6.879815,0.12018489837646484
6.0,6.7927327,-0.7927327156066895
6.8,6.8465495,-0.046549510955810725
5.8,6.851902,-1.0519020080566408
7.0,7.106368,-0.1063680648803711
7.8,7.0736036,0.7263963699340819
6.75,6.8236427,-0.07364273071289062
7.75,6.984951,0.7650489807128906
7.8,7.176089,0.6239111900329588
5.333333333333333,6.954493,-1.6211597124735517
7.0,7.0404263,-0.04042625427246094
7.666666666666667,6.8665333,0.8001333872477217
